accountsservice 0.6.55-3
acpi 1.7-3
acpid 2.0.33-1
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
adobe-source-sans-fonts 3.046-1
alsa-firmware 1.2.4-2
alsa-utils 1.2.6-1
amd-ucode 20211216.f682ecb-1
android-tools 31.0.3-3
android-udev 20220102-1
apparmor 3.0.3-2
audacious 4.1-3
avahi 0.8+22+gfd482a7-3
b43-fwcutter 019-3
bash 5.1.016-2
blueman 2.2.3-2
btrfs-progs 5.16-1
bzip2 1.0.8-4
catfish 4.16.3-2
coreutils 9.0-2
cpupower 5.16-1
crda 4.14-4
cronie 1.5.7-2
cryptsetup 2.4.3-1
device-mapper 2.03.14-2
dhclient 4.4.2.P1-4
dhcpcd 9.4.1-1
diffutils 3.8-1
dmidecode 3.3-1
dmraid 1.0.0.rc16.3-13
dnsmasq 2.86-1
dosfstools 4.2-1
e2fsprogs 1.46.5-1
ecryptfs-utils 111-5
efibootmgr 17-2
engrampa 1.26.0-1
exfat-utils 1.3.0-2
exo 4.16.3-1
f2fs-tools 1.14.0-3
ffmpeg 2:4.4.1-1
ffmpegthumbnailer 2.2.2-2
file 5.41-1
filesystem 2021.12.07-3
findutils 4.8.0-1
firefox 96.0.2-0.2
freetype2 2.11.1-1
galculator 2.1.4-6
garcon 4.16.1-1
gawk 5.1.1-1
gcc-libs 11.1.0-3
gcolor2 0.4-9
gettext 0.21-1
gimp 2.10.30-1
glibc 2.33-5
glibc-locales 2.33-1
gnome-icon-theme 3.12.0-6
gnome-keyring 1:40.0-1.1
gnome-themes-extra 3.28+r6+g45b1d457-1
gparted 1.3.1-1
grep 3.7-1
grub 2.06-4
grub-btrfs 4.11-1
grub-theme-manjaro 20.2-12
gst-libav 1.18.5-1
gst-plugins-bad 1.18.5-4
gst-plugins-base 1.18.5-1
gst-plugins-good 1.18.5-2
gst-plugins-ugly 1.18.5-2
gtkhash-thunar 1.4-6
gufw 21.04.0-2
gvfs 1.48.1-1
gvfs-afc 1.48.1-1
gvfs-gphoto2 1.48.1-1
gvfs-mtp 1.48.1-1
gvfs-nfs 1.48.1-1
gvfs-smb 1.48.1-1
gzip 1.11-1
haveged 1.9.17-1
hexchat 2.16.0-3
htop 3.1.2-1
inetutils 2.2-1
inxi 3.3.12.1-1
iproute2 5.16.0-1
iputils 20211215-1
jfsutils 1.1.15-7
less 1:590-1
lib32-libva-intel-driver 2.4.1-1
lib32-libva-mesa-driver 21.3.4-1
lib32-libva-vdpau-driver 0.7.4-6
lib32-mesa-demos 8.4.0-3
lib32-mesa-vdpau 21.3.4-1
lib32-vulkan-intel 21.3.4-1
lib32-vulkan-radeon 21.3.4-1
libdvdcss 1.4.3-1
libgsf 1.14.48-1
libopenraw 0.3.0-1
libpamac-flatpak-plugin 11.2.0-3
libpamac-snap-plugin 11.2.0-3
libva-intel-driver 2.4.1-1
libva-mesa-driver 21.3.4-1
